G,AB,H,HR,BB,SO,SB,2B,3B,OPS,OBP,SLG,wOBA,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,HR/FB,wOBA,wRC,wRC+,WAR,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,Zone%,F-Strike%,OPS_target
159,643,217,41,80,84,73,35,4,1.012,0.416,0.596,0.428,0.337,0.416,0.596,1.012,0.258,0.338,0.109,0.114,0.95,0.24,0.428,156,171,9.1,0.201,0.495,0.304,0.397,0.35600000000000004,0.247,0.10099999999999999,0.43799999999999994,0.461,94.7,7.4,0.153,0.552,0.268,0.728,0.462,0.738,0.878,0.831,0.078,0.42200000000000004,0.589,1.012
161,637,211,29,72,121,23,59,2,0.976,0.41,0.567,0.411,0.331,0.41,0.567,0.976,0.235,0.37,0.099,0.166,0.6,0.15,0.411,145,162,7.8,0.276,0.353,0.37,0.365,0.35700000000000004,0.278,0.106,0.526,0.369,90.0,15.2,0.111,0.418,0.301,0.792,0.51,0.688,0.88,0.815,0.094,0.426,0.614,0.976
152,584,179,39,96,107,14,40,1,0.987,0.408,0.579,0.416,0.307,0.408,0.579,0.987,0.272,0.316,0.139,0.154,0.9,0.16699999999999998,0.416,141,166,7.7,0.237,0.278,0.485,0.46299999999999997,0.355,0.183,0.1,0.49,0.41100000000000003,92.4,20.6,0.124,0.48100000000000004,0.2,0.63,0.381,0.643,0.9390000000000001,0.8490000000000001,0.057,0.42100000000000004,0.595,0.987
162,608,172,54,104,167,1,27,3,0.993,0.389,0.604,0.413,0.283,0.389,0.604,0.993,0.321,0.302,0.14400000000000002,0.23199999999999998,0.62,0.278,0.413,144,161,6.6,0.17800000000000002,0.387,0.436,0.382,0.373,0.245,0.11199999999999999,0.461,0.42700000000000005,93.7,16.1,0.16399999999999998,0.551,0.295,0.735,0.46799999999999997,0.695,0.777,0.746,0.11900000000000001,0.395,0.556,0.993
135,497,151,44,91,143,20,26,8,1.066,0.412,0.654,0.433,0.304,0.412,0.654,1.066,0.35,0.342,0.152,0.239,0.64,0.312,0.433,130,179,6.5,0.182,0.423,0.395,0.389,0.361,0.249,0.098,0.473,0.429,94.4,13.2,0.193,0.5329999999999999,0.33299999999999996,0.7070000000000001,0.48,0.565,0.8140000000000001,0.7090000000000001,0.139,0.39299999999999996,0.5710000000000001,1.066
119,477,156,33,49,88,2,42,0,1.013,0.39,0.623,0.419,0.327,0.39,0.623,1.013,0.296,0.34,0.091,0.16399999999999998,0.56,0.21,0.419,110,171,6.3,0.203,0.4,0.397,0.415,0.344,0.24100000000000002,0.086,0.43,0.484,93.3,13.0,0.152,0.532,0.336,0.855,0.551,0.551,0.895,0.772,0.126,0.415,0.612,1.013
162,670,185,29,72,110,14,40,4,0.826,0.348,0.478,0.354,0.276,0.348,0.478,0.826,0.201,0.291,0.096,0.146,0.65,0.11,0.354,114,126,6.3,0.196,0.33799999999999997,0.465,0.494,0.304,0.20199999999999999,0.131,0.525,0.344,88.4,19.1,0.065,0.36700000000000005,0.253,0.77,0.47100000000000003,0.662,0.912,0.8340000000000001,0.078,0.42100000000000004,0.608,0.826
162,568,156,35,132,129,12,32,1,0.93,0.41,0.519,0.395,0.275,0.41,0.519,0.93,0.245,0.296,0.18600000000000003,0.182,1.02,0.245,0.395,131,154,6.0,0.166,0.51,0.324,0.389,0.40399999999999997,0.207,0.14800000000000002,0.44,0.41100000000000003,93.2,6.7,0.13,0.5529999999999999,0.2,0.602,0.35700000000000004,0.6759999999999999,0.899,0.823,0.063,0.391,0.556,0.93
155,654,180,32,47,175,37,37,2,0.818,0.333,0.485,0.347,0.275,0.333,0.485,0.818,0.209,0.33,0.066,0.245,0.27,0.196,0.347,104,128,5.8,0.185,0.47600000000000003,0.33899999999999997,0.42,0.34299999999999997,0.237,0.141,0.47200000000000003,0.387,92.7,8.5,0.11900000000000001,0.52,0.41,0.73,0.5379999999999999,0.589,0.851,0.732,0.14400000000000002,0.402,0.63,0.818
158,641,177,30,40,121,49,28,11,0.813,0.319,0.495,0.343,0.276,0.319,0.495,0.813,0.218,0.295,0.057999999999999996,0.174,0.33,0.131,0.343,99,114,5.8,0.184,0.38,0.435,0.37799999999999995,0.321,0.301,0.153,0.47100000000000003,0.376,90.7,15.7,0.115,0.45399999999999996,0.344,0.733,0.504,0.684,0.862,0.7909999999999999,0.105,0.413,0.622,0.813
141,540,156,17,63,126,6,38,1,0.825,0.367,0.457,0.357,0.289,0.367,0.457,0.825,0.169,0.348,0.10300000000000001,0.20600000000000002,0.5,0.142,0.357,94,125,5.7,0.161,0.55,0.28800000000000003,0.34299999999999997,0.391,0.266,0.14400000000000002,0.499,0.35700000000000004,91.3,4.7,0.094,0.484,0.27899999999999997,0.6409999999999999,0.43200000000000005,0.619,0.816,0.742,0.111,0.42100000000000004,0.607,0.825
154,588,163,20,92,101,1,31,1,0.809,0.374,0.435,0.352,0.277,0.374,0.435,0.809,0.158,0.303,0.134,0.147,0.91,0.11800000000000001,0.352,103,127,5.6,0.23199999999999998,0.423,0.34600000000000003,0.384,0.32299999999999995,0.293,0.163,0.539,0.299,88.4,12.6,0.075,0.384,0.27,0.62,0.41,0.7709999999999999,0.924,0.863,0.055999999999999994,0.4,0.56,0.809
160,602,153,31,66,137,31,33,2,0.806,0.336,0.47,0.346,0.254,0.336,0.47,0.806,0.216,0.277,0.096,0.19899999999999998,0.48,0.14400000000000002,0.346,99,121,5.5,0.201,0.341,0.45799999999999996,0.46799999999999997,0.33299999999999996,0.19899999999999998,0.14400000000000002,0.502,0.354,91.2,19.2,0.10400000000000001,0.439,0.305,0.73,0.48,0.6609999999999999,0.873,0.7929999999999999,0.099,0.41200000000000003,0.606,0.806
155,565,161,25,57,125,54,30,10,0.868,0.362,0.506,0.37,0.285,0.362,0.506,0.868,0.221,0.325,0.08800000000000001,0.19399999999999998,0.46,0.154,0.37,106,132,5.4,0.19,0.439,0.371,0.42700000000000005,0.331,0.242,0.142,0.524,0.33299999999999996,90.0,11.0,0.076,0.409,0.305,0.67,0.455,0.682,0.885,0.805,0.08900000000000001,0.41100000000000003,0.5720000000000001,0.868
159,636,179,37,59,172,3,32,3,0.861,0.345,0.516,0.363,0.281,0.345,0.516,0.861,0.234,0.324,0.083,0.24100000000000002,0.34,0.19399999999999998,0.363,113,128,5.1,0.185,0.413,0.402,0.41100000000000003,0.358,0.23199999999999998,0.126,0.461,0.413,92.3,13.5,0.139,0.488,0.31,0.7190000000000001,0.48200000000000004,0.596,0.831,0.743,0.124,0.42,0.61,0.861
