iter	Passed	Remaining
0	8	1740
1	15	1505
2	20	1327
3	25	1246
4	30	1203
5	36	1168
6	41	1139
7	47	1141
8	52	1115
9	57	1096
10	63	1098
11	69	1082
12	73	1063
13	79	1061
14	85	1052
15	90	1038
16	96	1034
17	103	1041
18	110	1051
19	115	1043
20	120	1030
21	126	1026
22	132	1019
23	137	1007
24	142	1000
25	147	989
26	152	977
27	159	977
28	164	968
29	169	961
30	175	959
31	181	955
32	189	958
33	196	958
34	202	953
35	208	948
36	214	944
37	219	936
38	225	932
39	230	923
40	236	916
41	242	910
42	246	901
43	252	894
44	257	888
45	263	880
46	268	875
47	274	869
48	279	862
49	284	854
50	290	848
51	295	841
52	300	834
53	306	828
54	311	821
55	317	815
56	323	811
57	329	807
58	334	800
59	340	793
60	345	786
61	351	781
62	356	775
63	361	767
64	366	761
65	371	754
66	376	747
67	382	741
68	386	734
69	391	727
70	396	721
71	402	715
72	413	719
73	424	722
74	432	721
75	440	718
76	447	714
77	452	707
78	458	702
79	464	696
80	469	689
81	476	686
82	482	680
83	488	674
84	495	669
85	500	663
86	506	657
87	512	652
88	517	645
89	524	640
90	529	634
91	535	628
92	542	623
93	547	617
94	552	611
95	559	606
96	565	600
97	571	594
98	577	589
99	582	582
100	588	577
101	596	572
102	601	566
103	608	561
104	615	556
105	620	550
106	626	544
107	632	538
108	638	532
109	643	526
110	648	519
111	654	514
112	661	509
113	666	502
114	673	497
115	679	491
116	685	486
117	696	484
118	706	480
119	714	476
120	723	472
121	734	469
122	740	463
123	746	457
124	752	451
125	758	445
126	765	439
127	771	433
128	778	428
129	783	422
130	790	416
131	796	410
132	802	404
133	807	397
134	815	392
135	820	386
136	826	380
137	833	374
138	838	368
139	843	361
140	849	355
141	854	349
142	861	343
143	867	337
144	872	330
145	877	324
146	884	318
147	889	312
148	895	306
149	902	300
150	907	294
151	912	288
152	920	282
153	926	276
154	935	271
155	941	265
156	948	259
157	955	253
158	961	247
159	967	241
160	974	236
161	981	230
162	988	224
163	993	218
164	999	211
165	1004	205
166	1009	199
167	1015	193
168	1020	187
169	1026	181
170	1031	174
171	1036	168
172	1042	162
173	1047	156
174	1053	150
175	1059	144
176	1066	138
177	1072	132
178	1080	126
179	1086	120
180	1094	114
181	1102	109
182	1109	103
183	1117	97
184	1123	91
185	1129	85
186	1134	78
187	1140	72
188	1146	66
189	1151	60
190	1156	54
191	1162	48
192	1168	42
193	1173	36
194	1179	30
195	1184	24
196	1189	18
197	1194	12
198	1199	6
199	1205	0
