iter	Passed	Remaining
0	13	2717
1	21	2123
2	43	2883
3	51	2511
4	58	2279
5	64	2082
6	70	1951
7	78	1879
8	85	1806
9	92	1749
10	100	1733
11	107	1681
12	112	1622
13	120	1594
14	126	1560
15	132	1528
16	138	1490
17	144	1460
18	150	1433
19	156	1410
20	164	1404
21	171	1388
22	177	1367
23	183	1345
24	188	1321
25	194	1301
26	200	1287
27	208	1282
28	218	1286
29	226	1280
30	233	1273
31	241	1268
32	248	1259
33	254	1241
34	259	1225
35	265	1210
36	272	1199
37	277	1183
38	282	1167
39	288	1153
40	293	1138
41	309	1163
42	315	1150
43	320	1136
44	326	1125
45	342	1147
46	348	1135
47	355	1124
48	361	1114
49	371	1113
50	378	1106
51	386	1099
52	393	1090
53	399	1080
54	408	1075
55	414	1066
56	420	1054
57	425	1042
58	431	1030
59	436	1018
60	442	1007
61	447	996
62	452	984
63	458	974
64	464	963
65	469	953
66	474	942
67	481	934
68	486	924
69	493	916
70	503	914
71	509	905
72	515	897
73	525	894
74	532	886
75	538	877
76	544	869
77	550	860
78	556	851
79	562	844
80	568	835
81	576	829
82	582	821
83	590	814
84	596	807
85	603	799
86	609	792
87	615	783
88	622	776
89	630	770
90	637	763
91	643	755
92	649	747
93	656	739
94	662	732
95	668	724
96	674	716
97	683	711
98	691	705
99	698	698
100	705	691
101	713	685
102	720	678
103	727	671
104	733	663
105	739	655
106	761	662
107	768	654
108	774	646
109	781	639
110	789	632
111	796	626
112	803	618
113	810	611
114	816	603
115	825	597
116	832	590
117	839	583
118	846	576
119	853	569
120	860	561
121	867	554
122	873	546
123	879	539
124	886	532
125	894	525
126	901	518
127	909	511
128	917	504
129	926	498
130	931	490
131	937	483
132	945	476
133	951	468
134	958	461
135	964	453
136	971	446
137	978	439
138	986	432
139	993	425
140	1001	419
141	1010	412
142	1019	406
143	1079	419
144	1094	415
145	1102	407
146	1108	399
147	1114	391
148	1120	383
149	1125	375
150	1131	367
151	1136	358
152	1142	350
153	1152	344
154	1158	336
155	1166	329
156	1172	321
157	1178	313
158	1184	305
159	1191	297
160	1197	290
161	1218	285
162	1225	278
163	1232	270
164	1246	264
165	1253	256
166	1260	249
167	1267	241
168	1273	233
169	1280	225
170	1288	218
171	1300	211
172	1308	204
173	1321	197
174	1331	190
175	1339	182
176	1347	175
177	1355	167
178	1362	159
179	1369	152
180	1376	144
181	1382	136
182	1388	128
183	1394	121
184	1400	113
185	1405	105
186	1412	98
187	1417	90
188	1422	82
189	1429	75
190	1444	68
191	1450	60
192	1457	52
193	1463	45
194	1478	37
195	1484	30
196	1492	22
197	1498	15
198	1504	7
199	1510	0
