hidden_dims,dropout,lr,batch_size,mae,rmse
[32],0.3,0.01,16,0.009844757616519928,0.013196578960075783
"[512, 256, 128, 64]",0.1,0.01,16,0.01820899359881878,0.021319654668267417
"[256, 128, 64, 32]",0.1,0.01,32,0.019373562186956406,0.02500816259456395
"[256, 128, 64, 32]",0.1,0.01,16,0.0215215552598238,0.025900686518439766
"[512, 256, 128]",0.1,0.01,16,0.02265341579914093,0.0272913242896762
"[128, 64]",0.4,0.01,16,0.025558598339557648,0.02858614098233292
"[512, 256, 128, 64]",0.3,0.01,16,0.020723305642604828,0.029423536243187446
"[128, 64, 32]",0.1,0.01,32,0.021344389766454697,0.0296912520713527
"[64, 32]",0.3,0.01,32,0.024437889456748962,0.030129525153669266
"[128, 64, 32]",0.4,0.01,16,0.023429274559020996,0.03014976095639386
"[256, 128, 64]",0.2,0.01,16,0.025550076737999916,0.030722991089108715
"[512, 256, 128, 64]",0.2,0.005,64,0.02570299059152603,0.03112195275462941
"[128, 64]",0.1,0.01,16,0.027918709442019463,0.03238948725334407
"[256, 128, 64, 32]",0.3,0.01,32,0.025074683129787445,0.03261646916689197
"[256, 128, 64, 32]",0.3,0.01,16,0.02498539723455906,0.03316337822038564
"[128, 64, 32]",0.3,0.01,16,0.027055902406573296,0.03358006739312531
"[64, 32]",0.3,0.005,16,0.024853793904185295,0.03362423136306338
"[64, 32]",0.4,0.01,16,0.02510228008031845,0.033895609703417484
"[256, 128, 64]",0.2,0.01,32,0.02957783453166485,0.03405632508810947
"[512, 256, 128, 64]",0.3,0.01,32,0.029914621263742447,0.03497628003190196
"[64, 32]",0.2,0.01,16,0.02623164840042591,0.035518947571770994
"[128, 64]",0.3,0.01,16,0.027355894446372986,0.03568414714041701
"[64, 32]",0.3,0.01,16,0.028738001361489296,0.03573628269990552
"[512, 256, 128, 64]",0.2,0.01,32,0.028048135340213776,0.035739001082566585
"[256, 128, 64]",0.1,0.01,16,0.028960084542632103,0.03705152595306513
"[128, 64, 32]",0.2,0.01,16,0.031209077686071396,0.03861263631572477
"[512, 256, 128]",0.2,0.01,16,0.02852611616253853,0.03868938258057435
"[512, 256, 128, 64]",0.4,0.01,32,0.029659593477845192,0.03925577123990692
"[128, 64, 32]",0.1,0.01,16,0.030554305762052536,0.03957873698629994
[32],0.2,0.01,16,0.034698229283094406,0.039948669603265624
"[256, 128, 64, 32]",0.1,0.005,32,0.0337899848818779,0.04023598446682353
"[256, 128, 64]",0.2,0.005,16,0.03015618398785591,0.04040738097396286
"[256, 128, 64, 32]",0.4,0.01,16,0.02872379682958126,0.04049684916928981
"[512, 256, 128]",0.4,0.01,16,0.03183149918913841,0.04097973013544863
"[128, 64]",0.2,0.005,16,0.03478366881608963,0.042890823479750775
"[1024, 512, 256]",0.1,0.005,64,0.03189823031425476,0.04344248930189251
[32],0.4,0.01,16,0.03177905082702637,0.04348588371435268
"[256, 128, 64, 32]",0.2,0.01,16,0.033954329788684845,0.0439241663070681
"[1024, 512, 256]",0.4,0.005,16,0.03365194797515869,0.04467565239813267
"[256, 128, 64, 32]",0.2,0.005,16,0.03186606988310814,0.045207234209864715
[32],0.4,0.01,32,0.03836354240775108,0.0453403074137785
"[1024, 512, 256]",0.4,0.01,32,0.036235079169273376,0.045519737596730774
"[128, 64]",0.1,0.01,32,0.034845370799303055,0.04603946861830452
"[256, 128, 64]",0.3,0.005,16,0.03581580892205238,0.04637436702311074
"[128, 64, 32]",0.2,0.005,16,0.03873307257890701,0.04652896453510713
"[512, 256, 128]",0.1,0.01,64,0.03429371863603592,0.04676871120540356
"[512, 256, 128, 64]",0.4,0.01,16,0.03451475873589516,0.04679584525524507
"[256, 128, 64, 32]",0.3,0.005,16,0.03569048270583153,0.046954879152755376
"[1024, 512, 256]",0.2,0.005,64,0.039566975086927414,0.0471143893084775
"[256, 128, 64]",0.1,0.01,32,0.04039265215396881,0.0471160274920066
"[1024, 512, 256]",0.1,0.005,32,0.03782772272825241,0.04721676886635613
"[256, 128, 64]",0.3,0.01,32,0.03779591619968414,0.04778070945789515
"[128, 64, 32]",0.3,0.01,32,0.040137261152267456,0.04861840988515397
"[256, 128, 64]",0.4,0.01,16,0.03416837751865387,0.048668060206814086
"[512, 256, 128]",0.3,0.01,32,0.03732021525502205,0.04902041006049063
"[128, 64, 32]",0.1,0.01,64,0.0349605493247509,0.04912299053936195
"[512, 256, 128]",0.2,0.01,64,0.03767992928624153,0.049131838853778385
"[1024, 512, 256]",0.1,0.005,16,0.03931069374084473,0.04951421799079614
"[256, 128, 64, 32]",0.2,0.01,32,0.04298081621527672,0.05004039786445737
"[512, 256, 128, 64]",0.1,0.01,32,0.03752027079463005,0.05016606718316528
"[512, 256, 128]",0.1,0.01,32,0.03821708634495735,0.050319391550154066
"[1024, 512, 256]",0.1,0.01,32,0.037758585065603256,0.050446908959218564
"[256, 128, 64]",0.2,0.01,64,0.0396060049533844,0.05170851735164406
"[128, 64]",0.1,0.005,16,0.04565294459462166,0.05203504360247778
"[512, 256, 128, 64]",0.2,0.005,16,0.044409941881895065,0.05329017774466031
"[256, 128, 64]",0.1,0.01,128,0.04418828710913658,0.05329049887327107
"[512, 256]",0.1,0.005,16,0.044704366475343704,0.0535945411406865
"[256, 128, 64]",0.1,0.01,64,0.0417214073240757,0.05359671976171977
"[512, 256, 128]",0.2,0.01,32,0.04520178586244583,0.05388040683304765
"[512, 256, 128]",0.3,0.005,16,0.04839979112148285,0.054441086332486024
"[512, 256, 128, 64]",0.1,0.005,64,0.04079725965857506,0.055040895107994606
"[128, 64]",0.2,0.01,16,0.04837364703416824,0.05549625777462456
[32],0.4,0.005,32,0.04743979871273041,0.05596887012223325
"[512, 256]",0.1,0.01,64,0.04300929978489876,0.056520890420390865
"[1024, 512, 256]",0.1,0.001,16,0.0448240265250206,0.05653708547577887
"[512, 256, 128]",0.1,0.005,32,0.046173468232154846,0.057451756237870216
"[512, 256, 128]",0.2,0.001,16,0.044324371963739395,0.05793087437507717
"[512, 256, 128, 64]",0.4,0.01,64,0.04090967774391174,0.05800780736236036
"[64, 32]",0.2,0.01,32,0.048394180834293365,0.058051328520302925
"[512, 256, 128]",0.2,0.005,16,0.048128508031368256,0.05833212538657744
"[512, 256, 128]",0.3,0.01,64,0.04546966403722763,0.05833589719916801
"[64, 32]",0.4,0.005,16,0.050603337585926056,0.058675305908123476
"[512, 256, 128]",0.3,0.005,32,0.046097852289676666,0.058795381361682726
"[1024, 512, 256]",0.4,0.01,64,0.045836810022592545,0.0588669447966637
"[64, 32]",0.1,0.005,16,0.04776325449347496,0.05893339423394086
"[256, 128, 64]",0.1,0.005,32,0.05227825418114662,0.059000370638827786
"[512, 256, 128]",0.2,0.005,32,0.050982192158699036,0.05951257745444404
"[512, 256, 128, 64]",0.2,0.01,64,0.0456954650580883,0.05992865462228019
"[128, 64]",0.2,0.01,32,0.053229961544275284,0.06042707419709104
"[512, 256, 128, 64]",0.3,0.01,64,0.03666682913899422,0.060934410872777275
"[128, 64]",0.1,0.005,32,0.04782043397426605,0.061698601774878584
"[512, 256]",0.1,0.001,16,0.04790547862648964,0.06178585920339754
"[128, 64, 32]",0.3,0.005,32,0.048462383449077606,0.06183319790290375
"[512, 256, 128, 64]",0.3,0.005,32,0.05275793373584747,0.06218469329471487
"[256, 128, 64]",0.3,0.005,32,0.05571897327899933,0.06220605578473673
"[512, 256]",0.4,0.01,16,0.05222826451063156,0.0623380062945885
"[1024, 512, 256]",0.2,0.01,32,0.04903819039463997,0.06235760620846979
"[1024, 512, 256]",0.1,0.01,64,0.03662818297743797,0.06263794056527729
[32],0.3,0.01,32,0.05199180543422699,0.06325800389249948
"[512, 256]",0.1,0.01,16,0.04972283914685249,0.06336223870989442
[32],0.1,0.01,16,0.05070216953754425,0.06352405238812789
"[512, 256, 128]",0.3,0.01,16,0.048714686185121536,0.06379553175718976
"[256, 128, 64, 32]",0.2,0.005,64,0.04735437035560608,0.06409826632271029
"[1024, 512, 256]",0.2,0.001,16,0.05299903824925423,0.06422441173920154
"[1024, 512, 256]",0.2,0.01,16,0.05344374477863312,0.06425920487840356
"[512, 256, 128, 64]",0.1,0.005,16,0.053213492035865784,0.06426177374969776
"[128, 64]",0.2,0.005,32,0.04823615774512291,0.06445981482264528
"[128, 64, 32]",0.4,0.01,32,0.053633593022823334,0.06461626055950483
"[1024, 512, 256]",0.3,0.01,64,0.047308072447776794,0.0646239026698651
"[512, 256, 128, 64]",0.2,0.005,32,0.0572371706366539,0.06494652577348395
"[256, 128, 64]",0.1,0.005,16,0.05156907066702843,0.06501962855392789
"[512, 256]",0.1,0.01,32,0.057059358805418015,0.06562084059930705
"[64, 32]",0.1,0.01,32,0.05329975485801697,0.06589436991675966
"[1024, 512, 256]",0.1,0.0005,16,0.04941392317414284,0.06648315856663498
"[512, 256, 128, 64]",0.2,0.01,16,0.04823921248316765,0.0666996316352453
"[128, 64]",0.4,0.01,32,0.05893609672784805,0.06696277464853397
"[1024, 512, 256]",0.2,0.01,64,0.04842638969421387,0.06700407929154328
"[512, 256]",0.1,0.005,64,0.05356766656041145,0.06708594245617427
"[1024, 512, 256]",0.2,0.0005,32,0.052774615585803986,0.0673777053113826
"[512, 256, 128]",0.1,0.005,16,0.05966009199619293,0.06787063406370085
"[64, 32]",0.2,0.005,32,0.05797359719872475,0.0681697702340847
"[256, 128, 64]",0.3,0.01,16,0.04434594884514809,0.06823870703496508
"[128, 64, 32]",0.2,0.005,32,0.05999637395143509,0.06915414510963407
"[128, 64, 32]",0.3,0.01,128,0.05816677585244179,0.06937284897463744
"[256, 128, 64, 32]",0.2,0.01,64,0.051136232912540436,0.06938493367549939
"[512, 256, 128, 64]",0.1,0.005,32,0.055819086730480194,0.06960567204423077
"[128, 64, 32]",0.1,0.01,128,0.05180664360523224,0.06976667780898758
"[128, 64, 32]",0.3,0.005,16,0.06176207959651947,0.06998934593930195
"[128, 64, 32]",0.4,0.005,16,0.0664251372218132,0.07005096512059189
"[1024, 512, 256]",0.2,0.005,32,0.0492977574467659,0.07025495465821736
"[1024, 512, 256]",0.2,0.0005,16,0.05950717628002167,0.07026339180302686
"[256, 128, 64, 32]",0.1,0.005,16,0.053564514964818954,0.07034428858074214
"[512, 256, 128, 64]",0.1,0.01,128,0.057492081075906754,0.07067546277002647
"[256, 128, 64]",0.3,0.01,64,0.05915583670139313,0.07088981160846401
"[256, 128, 64, 32]",0.1,0.005,128,0.05744988098740578,0.07109836979936515
"[128, 64, 32]",0.2,0.01,32,0.05633091554045677,0.07129430098425643
"[1024, 512, 256]",0.3,0.005,32,0.061701033264398575,0.07185196403713916
"[256, 128, 64, 32]",0.4,0.01,32,0.05765233188867569,0.07190121452525379
"[64, 32]",0.1,0.005,64,0.05586116388440132,0.07223401473733426
"[128, 64]",0.3,0.005,16,0.05921187996864319,0.07225007779185684
"[512, 256]",0.2,0.01,16,0.05351225659251213,0.07244823876642294
"[128, 64, 32]",0.1,0.001,16,0.06386956572532654,0.07267240785572769
"[256, 128, 64, 32]",0.1,0.005,64,0.056556519120931625,0.07286224683185723
"[1024, 512, 256]",0.1,0.01,128,0.055407699197530746,0.07293737243818521
"[256, 128, 64, 32]",0.2,0.005,128,0.059815410524606705,0.07305691810660257
"[128, 64, 32]",0.1,0.005,32,0.055228788405656815,0.07316944324526362
"[256, 128, 64, 32]",0.2,0.005,32,0.05748571455478668,0.07340706704486027
[32],0.1,0.005,32,0.06490785628557205,0.07370701473655801
"[512, 256, 128, 64]",0.4,0.005,16,0.06724881380796432,0.07422146039330359
"[256, 128, 64]",0.4,0.005,32,0.06373991072177887,0.07443936711194947
"[512, 256]",0.3,0.01,64,0.062490444630384445,0.07453228265518778
